Num,y
348622,1496.37
348623,27016.719
348624,297375.38
348625,29452.745
348626,16.09
348627,146151.906
348628,67693.848
348629,111872.161
348630,102567.314
348631,3539.8
348632,1850.35
348633,54963.44
348634,278805.911
348635,21949.978
348636,1946.89
348637,178679.45
348638,121543.86
348639,509525.248
348640,510427.897
348641,2334.659
348642,113156.143
348643,83416.996
348644,1214.795
348645,24217.059
348646,10942.809
348647,150418.974
348648,7485.068
348649,18654.746
348650,5526.915
348651,23587.94
348652,17166.421
348653,279792.228
348654,7393.355
348655,21946.76
348656,10434.365
348657,2469.815
348658,44789.733
348659,1399.83
348660,160.9
348661,16828.531
348662,7055.465
348663,18487.41
348664,1160830.749
348665,79859.497
348666,342887.554
348667,872874.455
348668,95976.85
348669,27092.342
348670,25969.26
348671,96.54
348672,47988.425
348673,88.495
348674,257.44
348675,2757264.459
348676,387032.078
348677,6564.72
348678,46130.03
348679,345235.085
348680,14368.37
348681,707.96
348682,36421.324
348683,1946.89
348684,1576.82
348685,21298.333
348686,185770.313
348687,6139.944
348688,143878.389
348689,25523.567
348690,6823.769
348691,198611.742
348692,14006.345
348693,194207.909
348694,138341.82
348695,118631.57
348696,132616.998
348697,98046.024
348698,1206.75
348699,15557.421
348700,11826.15
348701,87814.393
348702,9106.94
348703,56805.745
348704,73853.1
348705,151636.987
348706,118808.56
348707,27402.879
348708,8535.745
348709,60739.75
348710,95022.713
348711,38128.473
348712,5526.915
348713,92807.12
348714,100176.34
348715,184724.463
348716,10707.895
348717,193.08
348718,4056.289
348719,6524.495
348720,13435.15
348721,103646.953
348722,3131.114
348723,474.655
348724,18894.487
348725,6234.875
348726,4473.02
348727,79891.677
348728,296289.305
348729,32009.446
348730,1267021.531
348731,335894.84
348732,31425.379
348733,166483.23
348734,836.68
348735,2490519.612
348736,42678.725
348737,21858.265
348738,707533.615
348739,546717.283
348740,597841.649
348741,1047249.83
348742,113186.714
348743,116974.3
348744,2366.839
348745,6173.733
348746,128.72
348747,13933.94
348748,95836.867
348749,5098.921
348750,28785.01
348751,435495.158
348752,107700.024
348753,578992.214
348754,271431.864
348755,95317.16
348756,63919.134
348757,691.87
348758,14601.675
348759,265494.654
348760,728651.74
348761,322660.815
348762,15037.714
348763,25480.124
348764,128.72
348765,8374.845
348766,133621.014
348767,1319.38
348768,144.81
348769,77941.569
348770,12112.552
348771,4014.455
348772,1330.643
348773,168785.709
348774,883043.335
348775,4263.85
348776,30770.516
348777,193.08
348778,15478.58
348779,93553.696
348780,186777.547
348781,124888.971
348782,289370.605
348783,400690.879
348784,13882.452
348785,6963.752
348786,17956.44
348787,2054.693
348788,3081.235
348789,67175.75
348790,13644.32
348791,645252.443
348792,467160.278
348793,225.26
348794,257.44
348795,32.18
348796,1063.549
348797,1026.542
348798,80329.325
348799,11271.045
348800,1192.269
348801,4094.905
348802,1652.443
348803,465.001
348804,1681.405
348805,2437.635
348806,834605.999
348807,27846.963
348808,1224307.408
348809,365049.92
348810,27634.575
348811,12505.148
348812,1584.865
348813,24844.569
348814,48969.915
348815,86906.917
348816,203390.472
348817,79283.475
348818,8.045
348819,305650.467
348820,16339.395
348821,273.53
348822,48.27
348823,19332.135
348824,193.08
348825,257.44
348826,442.475
348827,48.27
348828,119086.917
348829,720087.033
348830,291439.779
348831,593962.35
348832,26348.984
348833,1432.01
348834,30955.551
348835,134745.705
348836,524926.596
348837,96.54
348838,225.26
348839,225.26
348840,4559.906
348841,50434.105
348842,17267.788
348843,313.755
348844,6405.429
348845,171860.508
348846,472560.082
348847,19721.513
349519,1496.37
349520,27016.719
349521,297375.38
349522,29452.745
349523,16.09
349524,146151.906
349525,67693.848
349526,111872.161
349527,102567.314
349528,3539.8
349529,1850.35
349530,54963.44
349531,278805.911
349532,21949.978
349533,1946.89
349534,178679.45
349535,121543.86
349536,509525.248
349537,510427.897
349538,2334.659
349539,113156.143
349540,83416.996
349541,1214.795
349542,24217.059
349543,10942.809
349544,150418.974
349545,7485.068
349546,18654.746
349547,5526.915
349548,23587.94
349549,17166.421
349550,279792.228
349551,7393.355
349552,21946.76
349553,10434.365
349554,2469.815
349555,44789.733
349556,1399.83
349557,160.9
349558,16828.531
349559,7055.465
349560,18487.41
349561,1160830.749
349562,79859.497
349563,342887.554
349564,872874.455
349565,95976.85
349566,27092.342
349567,25969.26
349568,96.54
349569,47988.425
349570,88.495
349571,257.44
349572,2757264.459
349573,387032.078
349574,6564.72
349575,46130.03
349576,345235.085
349577,14368.37
349578,707.96
349579,36421.324
349580,1946.89
349581,1576.82
349582,21298.333
349583,185770.313
349584,6139.944
349585,143878.389
349586,25523.567
349587,6823.769
349588,198611.742
349589,14006.345
349590,194207.909
349591,138341.82
349592,118631.57
349593,132616.998
349594,98046.024
349595,1206.75
349596,15557.421
349597,11826.15
349598,87814.393
349599,9106.94
349600,56805.745
349601,73853.1
349602,151636.987
349603,118808.56
349604,27402.879
349605,8535.745
349606,60739.75
349607,95022.713
349608,38128.473
349609,5526.915
349610,92807.12
349611,100176.34
349612,184724.463
349613,10707.895
349614,193.08
349615,4056.289
349616,6524.495
349617,13435.15
349618,103646.953
349619,3131.114
349620,474.655
349621,18894.487
349622,6234.875
349623,4473.02
349624,79891.677
349625,296289.305
349626,32009.446
349627,1267021.531
349628,335894.84
349629,31425.379
349630,166483.23
349631,836.68
349632,2490519.612
349633,42678.725
349634,21858.265
349635,707533.615
349636,546717.283
349637,597841.649
349638,1047249.83
349639,113186.714
349640,116974.3
349641,2366.839
349642,6173.733
349643,128.72
349644,13933.94
349645,95836.867
349646,5098.921
349647,28785.01
349648,435495.158
349649,107700.024
349650,578992.214
349651,271431.864
349652,95317.16
349653,63919.134
349654,691.87
349655,14601.675
349656,265494.654
349657,728651.74
349658,322660.815
349659,15037.714
349660,25480.124
349661,128.72
349662,8374.845
349663,133621.014
349664,1319.38
349665,144.81
349666,77941.569
349667,12112.552
349668,4014.455
349669,1330.643
349670,168785.709
349671,883043.335
349672,4263.85
349673,30770.516
349674,193.08
349675,15478.58
349676,93553.696
349677,186777.547
349678,124888.971
349679,289370.605
349680,400690.879
349681,13882.452
349682,6963.752
349683,17956.44
349684,2054.693
349685,3081.235
349686,67175.75
349687,13644.32
349688,645252.443
349689,467160.278
349690,225.26
349691,257.44
349692,32.18
349693,1063.549
349694,1026.542
349695,80329.325
349696,11271.045
349697,1192.269
349698,4094.905
349699,1652.443
349700,465.001
349701,1681.405
349702,2437.635
349703,834605.999
349704,27846.963
349705,1224307.408
349706,365049.92
349707,27634.575
349708,12505.148
349709,1584.865
349710,24844.569
349711,48969.915
